tconst	directors	writers
tt9866050	nm7129301,nm5563885,nm8787778,nm8744023	nm7129303,nm0474774,nm7129304,nm5170389
tt9866052	nm7129301,nm5563885,nm8787778,nm8744023	nm7129303,nm0474774,nm7129304,nm5170389
tt9866054	nm7129301,nm5563885,nm8787778,nm8744023	nm7129303,nm0474774,nm7129304,nm5170389
tt9866056	nm7129301,nm5563885,nm8787778,nm8744023	nm7129303,nm0474774,nm7129304,nm5170389
tt9866058	nm7129301,nm5563885,nm8787778,nm8744023	nm7129303,nm0474774,nm7129304,nm5170389
tt9866060	nm7129301,nm5563885,nm8787778,nm8744023	nm7129303,nm0474774,nm7129304,nm5170389
tt9866062	nm7129301,nm5563885,nm8787778,nm8744023	nm7129303,nm0474774,nm7129304,nm5170389
tt9866064	nm7129301,nm5563885,nm8787778,nm8744023	nm7129303,nm0474774,nm7129304,nm5170389
tt9866066	nm7129301,nm5563885,nm8787778,nm8744023	nm7129303,nm0474774,nm7129304,nm5170389
tt9866068	nm7129301,nm5563885,nm8787778,nm8744023	nm7129303,nm0474774,nm7129304,nm5170389
tt9866070	nm7129301,nm5563885,nm8787778,nm8744023	nm7129303,nm0474774,nm7129304,nm5170389
tt9866072	nm0925870	nm0667330
tt9866074	nm7129301,nm5563885,nm8787778,nm8744023	nm7129303,nm0474774,nm7129304,nm5170389
tt9866076	nm7129301,nm5563885,nm8787778,nm8744023	nm7129303,nm0474774,nm7129304,nm5170389
tt9866078	nm7129301,nm5563885,nm8787778,nm8744023	nm7129303,nm0474774,nm7129304,nm5170389
tt9866080	nm7129301,nm5563885,nm8787778,nm8744023	nm7129303,nm0474774,nm7129304,nm5170389
tt9866082	nm7129301,nm5563885,nm8787778,nm8744023	nm7129303,nm0474774,nm7129304,nm5170389
tt9866084	nm7129301,nm5563885,nm8787778,nm8744023	nm7129303,nm0474774,nm7129304,nm5170389
tt9866086	nm7129301,nm5563885,nm8787778,nm8744023	nm7129303,nm0474774,nm7129304,nm5170389
tt9866088	nm7129301,nm5563885,nm8787778,nm8744023	nm7129303,nm0474774,nm7129304,nm5170389
tt9866090	nm7129301,nm5563885,nm8787778,nm8744023	nm7129303,nm0474774,nm7129304,nm5170389
