nconst	primaryName	birthYear	deathYear	primaryProfession	knownForTitles
nm9983675	Iqbal Shaikh	\N	\N	editorial_department	tt4332542
nm9983676	Piyush Patel	\N	\N	editorial_department,producer	tt8430070,tt4332542
nm9983677	Amman Mithani	\N	\N	production_manager,miscellaneous	tt4332542
nm9983678	Iqbal Sheikh	\N	\N	sound_department	tt4332542
nm9983679	Ajay Kumar	\N	\N	sound_department	tt4332542
nm9983680	Yusuf S. Batliwalla	\N	\N	\N	\N
nm9983681	Hasanally A. Dossani	\N	\N	\N	\N
nm9983682	Albert Temple	\N	\N	\N	\N
nm9983683	Bala	\N	\N	miscellaneous	tt4332542
nm9983684	Suresh Wadile	\N	\N	actor,miscellaneous	tt4332542,tt30926850
nm9983685	Pallavi Salvekar	\N	\N	miscellaneous	tt4332542
nm9983686	Yashowardhan Kauna	\N	\N	miscellaneous	tt4332542
nm9983687	Vijay Chavan	\N	\N	miscellaneous	tt4332542
nm9983688	Sarvar	\N	\N	actor,miscellaneous	tt4332542
nm9983689	Haji Bhai	\N	\N	miscellaneous	tt4332542
nm9983690	Iqbal Dossani	\N	\N	miscellaneous	tt4332542
nm9983691	Shoaib Memon	\N	\N	sound_department,miscellaneous	tt21480388,tt4332542
nm9983692	Junaid Shabwani	\N	\N	miscellaneous	tt4332542
nm9983693	Suresh	\N	\N	miscellaneous	tt4332542
nm9983694	Jordan Scott	\N	\N	camera_department	tt8721386
nm9983695	Andrew Koehler	\N	\N	visual_effects	tt8721386
nm9983699	Utku Mogultay	\N	\N	composer,music_department	tt1216328
nm9983702	Maya Proenza	\N	\N	actress	tt8718414
nm9983703	Laura Hudson	\N	\N	\N	\N
nm9983705	Misha Turcotte	\N	\N	actor	\N
nm9983706	Solstice Lanoix	\N	\N	actor	\N
nm9983707	Alexandre Bigras-Binette	\N	\N	actor	\N
nm9983711	Volkan Hamamcioglu	\N	\N	actor,writer	tt8721422
nm9983712	Nadir Yakut	\N	\N	producer,actor	tt8721422
nm9983713	Isabella Herrera	\N	\N	editorial_department,editor,miscellaneous	tt9114286,tt9764362,tt18412256,tt29283959
nm9983714	Donnie Ruff	\N	\N	actor	tt8718414
nm9983716	Annie Kim Thériault	\N	\N	actress	tt14997446,tt16611772,tt23569898,tt8721452
nm9983718	Élisabeth Tremblay	\N	\N	actress	tt8721452
nm9983719	Fannie Côté	\N	\N	miscellaneous,actress	tt8721452,tt15801936,tt13826618,tt12034946
nm9983720	Frédérick Labonté	\N	\N	actress	tt8721452
nm9983721	Josiane Proteau	\N	\N	actress	tt31500074,tt8721452
nm9983722	Geneviève Labelle	\N	\N	actress	tt8721452
nm9983724	Mélodie N. Rousseau	\N	\N	actress	tt8721452
